,Disease,CombinedColumn,Drug Reaction,Specialities
414,Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor",Jaundice,Gastroenterologist
415,Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor",Dimorphic hemmorhoids(piles),Gastroenterologist 
416,Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor",Gastroenteritis,Gastroenterologist
417,Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor",Urinary tract infection,Gynecologist
418,Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor",Chronic cholestasis,Hepatologist
419,Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor",hepatitis A,Hepatologist
420,Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor",Hepatitis B,hepatologist
421,Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor",Hepatitis C,Hepatologist
422,Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor",Hepatitis E,Hepatologist
423,Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor",Hepatitis D,Hepatologist
424,Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor",Alcoholic hepatitis,Hepatologist
425,Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor",Malaria,Internal Medcine
426,Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor",Dengue,Internal Medcine
427,Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor",Migraine,Neurologist
428,Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor",Cervical spondylosis,Neurologist
429,Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor",Paralysis (brain hemorrhage),Neurologist
430,Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor",AIDS,Osteopathic
431,Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor",(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist
432,Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor",Common Cold,Otolaryngologist
433,Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor",Typhoid,Pediatrician
434,Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor",Varicose veins,Phlebologist
435,Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor",Bronchial Asthma,Pulmonologist
436,Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor",Pneumonia,Pulmonologist
437,Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor",Osteoarthristis,Rheumatologists
438,Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor",Arthritis,Rheumatologists
439,Hypoglycemia,"lie down on side, check in pulse, drink sugary drinks, consult doctor",Tuberculosis,Tuberculosis
440,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Allergy,Allergist
441,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Hypertension ,Cardiologist
442,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Heart attack,Cardiologist
443,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Psoriasis,Dermatologist
444,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Chicken pox,Dermatologist
445,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Acne,Dermatologist
446,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Impetigo,Dermatologist
447,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Fungal infection,Dermatologist
448,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Hypothyroidism,Endocrinologist
449,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Diabetes ,Endocrinologist
450,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Hypoglycemia,Endocrinologist
451,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Hyperthyroidism,Endocrinologist
452,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",GERD,Gastroenterologist
453,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Peptic ulcer diseae,Gastroenterologist
454,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Jaundice,Gastroenterologist
455,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Dimorphic hemmorhoids(piles),Gastroenterologist 
456,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Gastroenteritis,Gastroenterologist
457,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Urinary tract infection,Gynecologist
458,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Chronic cholestasis,Hepatologist
459,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",hepatitis A,Hepatologist
460,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Hepatitis B,hepatologist
461,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Hepatitis C,Hepatologist
462,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Hepatitis E,Hepatologist
463,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Hepatitis D,Hepatologist
464,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Alcoholic hepatitis,Hepatologist
465,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Malaria,Internal Medcine
466,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Dengue,Internal Medcine
467,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Migraine,Neurologist
468,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Cervical spondylosis,Neurologist
469,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Paralysis (brain hemorrhage),Neurologist
470,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",AIDS,Osteopathic
471,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist
472,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Common Cold,Otolaryngologist
473,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Typhoid,Pediatrician
474,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Varicose veins,Phlebologist
475,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Bronchial Asthma,Pulmonologist
476,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Pneumonia,Pulmonologist
477,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Osteoarthristis,Rheumatologists
478,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Arthritis,Rheumatologists
479,Acne,"bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Tuberculosis,Tuberculosis
480,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Allergy,Allergist
481,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Hypertension ,Cardiologist
482,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Heart attack,Cardiologist
483,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Psoriasis,Dermatologist
484,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Chicken pox,Dermatologist
485,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Acne,Dermatologist
486,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Impetigo,Dermatologist
487,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Fungal infection,Dermatologist
488,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Hypothyroidism,Endocrinologist
489,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Diabetes ,Endocrinologist
490,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Hypoglycemia,Endocrinologist
491,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Hyperthyroidism,Endocrinologist
492,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",GERD,Gastroenterologist
493,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Peptic ulcer diseae,Gastroenterologist
494,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Jaundice,Gastroenterologist
495,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Dimorphic hemmorhoids(piles),Gastroenterologist 
496,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Gastroenteritis,Gastroenterologist
497,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Urinary tract infection,Gynecologist
498,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Chronic cholestasis,Hepatologist
499,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",hepatitis A,Hepatologist
500,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Hepatitis B,hepatologist
501,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Hepatitis C,Hepatologist
502,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Hepatitis E,Hepatologist
503,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Hepatitis D,Hepatologist
504,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Alcoholic hepatitis,Hepatologist
505,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Malaria,Internal Medcine
506,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Dengue,Internal Medcine
507,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Migraine,Neurologist
508,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Cervical spondylosis,Neurologist
509,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Paralysis (brain hemorrhage),Neurologist
510,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",AIDS,Osteopathic
511,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist
512,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Common Cold,Otolaryngologist
513,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Typhoid,Pediatrician
514,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Varicose veins,Phlebologist
515,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Bronchial Asthma,Pulmonologist
516,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Pneumonia,Pulmonologist
517,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Osteoarthristis,Rheumatologists
518,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Arthritis,Rheumatologists
519,Diabetes ,"have balanced diet, exercise, consult doctor, follow up",Tuberculosis,Tuberculosis
520,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Allergy,Allergist
521,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Hypertension ,Cardiologist
522,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Heart attack,Cardiologist
523,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Psoriasis,Dermatologist
524,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Chicken pox,Dermatologist
525,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Acne,Dermatologist
526,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Impetigo,Dermatologist
527,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Fungal infection,Dermatologist
528,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Hypothyroidism,Endocrinologist
529,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Diabetes ,Endocrinologist
530,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Hypoglycemia,Endocrinologist
531,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Hyperthyroidism,Endocrinologist
532,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",GERD,Gastroenterologist
533,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Peptic ulcer diseae,Gastroenterologist
534,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Jaundice,Gastroenterologist
535,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Dimorphic hemmorhoids(piles),Gastroenterologist 
536,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Gastroenteritis,Gastroenterologist
537,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Urinary tract infection,Gynecologist
538,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Chronic cholestasis,Hepatologist
539,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",hepatitis A,Hepatologist
540,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Hepatitis B,hepatologist
541,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Hepatitis C,Hepatologist
542,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Hepatitis E,Hepatologist
543,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Hepatitis D,Hepatologist
544,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Alcoholic hepatitis,Hepatologist
545,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Malaria,Internal Medcine
546,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Dengue,Internal Medcine
547,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Migraine,Neurologist
548,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Cervical spondylosis,Neurologist
549,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Paralysis (brain hemorrhage),Neurologist
550,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",AIDS,Osteopathic
551,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist
552,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Common Cold,Otolaryngologist
553,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Typhoid,Pediatrician
554,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Varicose veins,Phlebologist
555,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Bronchial Asthma,Pulmonologist
556,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Pneumonia,Pulmonologist
557,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Osteoarthristis,Rheumatologists
558,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Arthritis,Rheumatologists
559,Impetigo,"soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Tuberculosis,Tuberculosis
560,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Allergy,Allergist
561,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Hypertension ,Cardiologist
562,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Heart attack,Cardiologist
563,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Psoriasis,Dermatologist
564,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Chicken pox,Dermatologist
565,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Acne,Dermatologist
566,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Impetigo,Dermatologist
567,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Fungal infection,Dermatologist
568,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Hypothyroidism,Endocrinologist
569,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Diabetes ,Endocrinologist
570,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Hypoglycemia,Endocrinologist
571,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Hyperthyroidism,Endocrinologist
572,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",GERD,Gastroenterologist
573,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Peptic ulcer diseae,Gastroenterologist
574,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Jaundice,Gastroenterologist
575,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Dimorphic hemmorhoids(piles),Gastroenterologist 
576,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Gastroenteritis,Gastroenterologist
577,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Urinary tract infection,Gynecologist
578,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Chronic cholestasis,Hepatologist
579,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",hepatitis A,Hepatologist
580,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Hepatitis B,hepatologist
581,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Hepatitis C,Hepatologist
582,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Hepatitis E,Hepatologist
583,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Hepatitis D,Hepatologist
584,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Alcoholic hepatitis,Hepatologist
585,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Malaria,Internal Medcine
586,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Dengue,Internal Medcine
587,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Migraine,Neurologist
588,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Cervical spondylosis,Neurologist
589,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Paralysis (brain hemorrhage),Neurologist
590,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",AIDS,Osteopathic
591,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist
592,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Common Cold,Otolaryngologist
593,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Typhoid,Pediatrician
594,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Varicose veins,Phlebologist
595,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Bronchial Asthma,Pulmonologist
596,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Pneumonia,Pulmonologist
597,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Osteoarthristis,Rheumatologists
598,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Arthritis,Rheumatologists
599,Hypertension ,"meditation, salt baths, reduce stress, get proper sleep",Tuberculosis,Tuberculosis
600,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Allergy,Allergist
601,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Hypertension ,Cardiologist
602,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Heart attack,Cardiologist
603,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Psoriasis,Dermatologist
604,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Chicken pox,Dermatologist
605,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Acne,Dermatologist
606,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Impetigo,Dermatologist
607,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Fungal infection,Dermatologist
608,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Hypothyroidism,Endocrinologist
609,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Diabetes ,Endocrinologist
610,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Hypoglycemia,Endocrinologist
611,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Hyperthyroidism,Endocrinologist
612,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",GERD,Gastroenterologist
613,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Peptic ulcer diseae,Gastroenterologist
614,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Jaundice,Gastroenterologist
615,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Dimorphic hemmorhoids(piles),Gastroenterologist 
616,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Gastroenteritis,Gastroenterologist
617,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Urinary tract infection,Gynecologist
618,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Chronic cholestasis,Hepatologist
619,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",hepatitis A,Hepatologist
620,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Hepatitis B,hepatologist
621,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Hepatitis C,Hepatologist
622,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Hepatitis E,Hepatologist
623,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Hepatitis D,Hepatologist
624,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Alcoholic hepatitis,Hepatologist
625,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Malaria,Internal Medcine
626,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Dengue,Internal Medcine
627,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Migraine,Neurologist
628,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Cervical spondylosis,Neurologist
629,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Paralysis (brain hemorrhage),Neurologist
630,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",AIDS,Osteopathic
631,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist
632,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Common Cold,Otolaryngologist
633,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Typhoid,Pediatrician
634,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Varicose veins,Phlebologist
635,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Bronchial Asthma,Pulmonologist
636,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Pneumonia,Pulmonologist
637,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Osteoarthristis,Rheumatologists
638,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Arthritis,Rheumatologists
639,Peptic ulcer diseae,"avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol",Tuberculosis,Tuberculosis
640,Dimorphic hemmorhoids(piles),"avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",Allergy,Allergist
641,Dimorphic hemmorhoids(piles),"avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",Hypertension ,Cardiologist
642,Dimorphic hemmorhoids(piles),"avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",Heart attack,Cardiologist
643,Dimorphic hemmorhoids(piles),"avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",Psoriasis,Dermatologist
644,Dimorphic hemmorhoids(piles),"avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",Chicken pox,Dermatologist
645,Dimorphic hemmorhoids(piles),"avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",Acne,Dermatologist
646,Dimorphic hemmorhoids(piles),"avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",Impetigo,Dermatologist
647,Dimorphic hemmorhoids(piles),"avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",Fungal infection,Dermatologist
648,Dimorphic hemmorhoids(piles),"avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",Hypothyroidism,Endocrinologist
649,Dimorphic hemmorhoids(piles),"avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",Diabetes ,Endocrinologist
650,Dimorphic hemmorhoids(piles),"avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",Hypoglycemia,Endocrinologist
651,Dimorphic hemmorhoids(piles),"avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",Hyperthyroidism,Endocrinologist
652,Dimorphic hemmorhoids(piles),"avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",GERD,Gastroenterologist
653,Dimorphic hemmorhoids(piles),"avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",Peptic ulcer diseae,Gastroenterologist
654,Dimorphic hemmorhoids(piles),"avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",Jaundice,Gastroenterologist
655,Dimorphic hemmorhoids(piles),"avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",Dimorphic hemmorhoids(piles),Gastroenterologist 
656,Dimorphic hemmorhoids(piles),"avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",Gastroenteritis,Gastroenterologist
657,Dimorphic hemmorhoids(piles),"avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",Urinary tract infection,Gynecologist
658,Dimorphic hemmorhoids(piles),"avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",Chronic cholestasis,Hepatologist
659,Dimorphic hemmorhoids(piles),"avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",hepatitis A,Hepatologist
660,Dimorphic hemmorhoids(piles),"avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",Hepatitis B,hepatologist
