Disease,Precautions,Symptoms,Specialities
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Gastroenteritis,Gastroenterologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Urinary tract infection,Gynecologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Chronic cholestasis,Hepatologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,hepatitis A,Hepatologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Hepatitis B,hepatologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Hepatitis C,Hepatologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Hepatitis E,Hepatologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Hepatitis D,Hepatologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Alcoholic hepatitis,Hepatologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Malaria,Internal Medcine
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Dengue,Internal Medcine
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Migraine,Neurologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Cervical spondylosis,Neurologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Paralysis (brain hemorrhage),Neurologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,AIDS,Osteopathic
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Common Cold,Otolaryngologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Typhoid,Pediatrician
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Varicose veins,Phlebologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Bronchial Asthma,Pulmonologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Pneumonia,Pulmonologist
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Osteoarthristis,Rheumatologists
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Arthritis,Rheumatologists
hepatitis A,consult nearest hospital wash hand avoid fatty spicy food medication,Tuberculosis,Internist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Allergy,Allergist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Hypertension ,Cardiologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Heart attack,Cardiologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Psoriasis,Dermatologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Chicken pox,Dermatologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Acne,Dermatologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Impetigo,Dermatologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Fungal infection,Dermatologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Hypothyroidism,Endocrinologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Diabetes ,Endocrinologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Hypoglycemia,Endocrinologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Hyperthyroidism,Endocrinologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,GERD,Gastroenterologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Peptic ulcer diseae,Gastroenterologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Jaundice,Gastroenterologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Dimorphic hemmorhoids(piles),Gastroenterologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Gastroenteritis,Gastroenterologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Urinary tract infection,Gynecologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Chronic cholestasis,Hepatologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,hepatitis A,Hepatologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Hepatitis B,hepatologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Hepatitis C,Hepatologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Hepatitis E,Hepatologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Hepatitis D,Hepatologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Alcoholic hepatitis,Hepatologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Malaria,Internal Medcine
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Dengue,Internal Medcine
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Migraine,Neurologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Cervical spondylosis,Neurologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Paralysis (brain hemorrhage),Neurologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,AIDS,Osteopathic
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Common Cold,Otolaryngologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Typhoid,Pediatrician
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Varicose veins,Phlebologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Bronchial Asthma,Pulmonologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Pneumonia,Pulmonologist
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Osteoarthristis,Rheumatologists
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Arthritis,Rheumatologists
Osteoarthristis,acetaminophen consult nearest hospital follow salt bath,Tuberculosis,Internist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Allergy,Allergist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Hypertension ,Cardiologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Heart attack,Cardiologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Psoriasis,Dermatologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Chicken pox,Dermatologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Acne,Dermatologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Impetigo,Dermatologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Fungal infection,Dermatologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Hypothyroidism,Endocrinologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Diabetes ,Endocrinologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Hypoglycemia,Endocrinologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Hyperthyroidism,Endocrinologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,GERD,Gastroenterologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Peptic ulcer diseae,Gastroenterologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Jaundice,Gastroenterologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Dimorphic hemmorhoids(piles),Gastroenterologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Gastroenteritis,Gastroenterologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Urinary tract infection,Gynecologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Chronic cholestasis,Hepatologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,hepatitis A,Hepatologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Hepatitis B,hepatologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Hepatitis C,Hepatologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Hepatitis E,Hepatologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Hepatitis D,Hepatologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Alcoholic hepatitis,Hepatologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Malaria,Internal Medcine
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Dengue,Internal Medcine
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Migraine,Neurologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Cervical spondylosis,Neurologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Paralysis (brain hemorrhage),Neurologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,AIDS,Osteopathic
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Common Cold,Otolaryngologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Typhoid,Pediatrician
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Varicose veins,Phlebologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Bronchial Asthma,Pulmonologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Pneumonia,Pulmonologist
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Osteoarthristis,Rheumatologists
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Arthritis,Rheumatologists
(vertigo) Paroymsal  Positional Vertigo,lie avoid sudden change body avoid abrupt head movment relax,Tuberculosis,Internist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Allergy,Allergist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Hypertension ,Cardiologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Heart attack,Cardiologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Psoriasis,Dermatologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Chicken pox,Dermatologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Acne,Dermatologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Impetigo,Dermatologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Fungal infection,Dermatologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Hypothyroidism,Endocrinologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Diabetes ,Endocrinologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Hypoglycemia,Endocrinologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Hyperthyroidism,Endocrinologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,GERD,Gastroenterologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Peptic ulcer diseae,Gastroenterologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Jaundice,Gastroenterologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Dimorphic hemmorhoids(piles),Gastroenterologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Gastroenteritis,Gastroenterologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Urinary tract infection,Gynecologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Chronic cholestasis,Hepatologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,hepatitis A,Hepatologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Hepatitis B,hepatologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Hepatitis C,Hepatologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Hepatitis E,Hepatologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Hepatitis D,Hepatologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Alcoholic hepatitis,Hepatologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Malaria,Internal Medcine
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Dengue,Internal Medcine
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Migraine,Neurologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Cervical spondylosis,Neurologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Paralysis (brain hemorrhage),Neurologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,AIDS,Osteopathic
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Common Cold,Otolaryngologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Typhoid,Pediatrician
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Varicose veins,Phlebologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Bronchial Asthma,Pulmonologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Pneumonia,Pulmonologist
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Osteoarthristis,Rheumatologists
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Arthritis,Rheumatologists
Hypoglycemia,lie side check pulse drink sugary drink consult doctor,Tuberculosis,Internist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Allergy,Allergist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Hypertension ,Cardiologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Heart attack,Cardiologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Psoriasis,Dermatologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Chicken pox,Dermatologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Acne,Dermatologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Impetigo,Dermatologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Fungal infection,Dermatologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Hypothyroidism,Endocrinologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Diabetes ,Endocrinologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Hypoglycemia,Endocrinologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Hyperthyroidism,Endocrinologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,GERD,Gastroenterologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Peptic ulcer diseae,Gastroenterologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Jaundice,Gastroenterologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Dimorphic hemmorhoids(piles),Gastroenterologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Gastroenteritis,Gastroenterologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Urinary tract infection,Gynecologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Chronic cholestasis,Hepatologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,hepatitis A,Hepatologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Hepatitis B,hepatologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Hepatitis C,Hepatologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Hepatitis E,Hepatologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Hepatitis D,Hepatologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Alcoholic hepatitis,Hepatologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Malaria,Internal Medcine
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Dengue,Internal Medcine
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Migraine,Neurologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Cervical spondylosis,Neurologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Paralysis (brain hemorrhage),Neurologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,AIDS,Osteopathic
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Common Cold,Otolaryngologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Typhoid,Pediatrician
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Varicose veins,Phlebologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Bronchial Asthma,Pulmonologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Pneumonia,Pulmonologist
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Osteoarthristis,Rheumatologists
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Arthritis,Rheumatologists
Acne,bath twice avoid fatty spicy food drink plenty water avoid many product,Tuberculosis,Internist
Diabetes ,balanced diet exercise consult doctor follow,Allergy,Allergist
Diabetes ,balanced diet exercise consult doctor follow,Hypertension ,Cardiologist
Diabetes ,balanced diet exercise consult doctor follow,Heart attack,Cardiologist
Diabetes ,balanced diet exercise consult doctor follow,Psoriasis,Dermatologist
Diabetes ,balanced diet exercise consult doctor follow,Chicken pox,Dermatologist
Diabetes ,balanced diet exercise consult doctor follow,Acne,Dermatologist
Diabetes ,balanced diet exercise consult doctor follow,Impetigo,Dermatologist
Diabetes ,balanced diet exercise consult doctor follow,Fungal infection,Dermatologist
Diabetes ,balanced diet exercise consult doctor follow,Hypothyroidism,Endocrinologist
Diabetes ,balanced diet exercise consult doctor follow,Diabetes ,Endocrinologist
Diabetes ,balanced diet exercise consult doctor follow,Hypoglycemia,Endocrinologist
Diabetes ,balanced diet exercise consult doctor follow,Hyperthyroidism,Endocrinologist
Diabetes ,balanced diet exercise consult doctor follow,GERD,Gastroenterologist
Diabetes ,balanced diet exercise consult doctor follow,Peptic ulcer diseae,Gastroenterologist
Diabetes ,balanced diet exercise consult doctor follow,Jaundice,Gastroenterologist
Diabetes ,balanced diet exercise consult doctor follow,Dimorphic hemmorhoids(piles),Gastroenterologist
Diabetes ,balanced diet exercise consult doctor follow,Gastroenteritis,Gastroenterologist
Diabetes ,balanced diet exercise consult doctor follow,Urinary tract infection,Gynecologist
Diabetes ,balanced diet exercise consult doctor follow,Chronic cholestasis,Hepatologist
Diabetes ,balanced diet exercise consult doctor follow,hepatitis A,Hepatologist
Diabetes ,balanced diet exercise consult doctor follow,Hepatitis B,hepatologist
Diabetes ,balanced diet exercise consult doctor follow,Hepatitis C,Hepatologist
Diabetes ,balanced diet exercise consult doctor follow,Hepatitis E,Hepatologist
Diabetes ,balanced diet exercise consult doctor follow,Hepatitis D,Hepatologist
Diabetes ,balanced diet exercise consult doctor follow,Alcoholic hepatitis,Hepatologist
Diabetes ,balanced diet exercise consult doctor follow,Malaria,Internal Medcine
Diabetes ,balanced diet exercise consult doctor follow,Dengue,Internal Medcine
Diabetes ,balanced diet exercise consult doctor follow,Migraine,Neurologist
Diabetes ,balanced diet exercise consult doctor follow,Cervical spondylosis,Neurologist
Diabetes ,balanced diet exercise consult doctor follow,Paralysis (brain hemorrhage),Neurologist
Diabetes ,balanced diet exercise consult doctor follow,AIDS,Osteopathic
Diabetes ,balanced diet exercise consult doctor follow,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist
Diabetes ,balanced diet exercise consult doctor follow,Common Cold,Otolaryngologist
Diabetes ,balanced diet exercise consult doctor follow,Typhoid,Pediatrician
Diabetes ,balanced diet exercise consult doctor follow,Varicose veins,Phlebologist
Diabetes ,balanced diet exercise consult doctor follow,Bronchial Asthma,Pulmonologist
Diabetes ,balanced diet exercise consult doctor follow,Pneumonia,Pulmonologist
Diabetes ,balanced diet exercise consult doctor follow,Osteoarthristis,Rheumatologists
Diabetes ,balanced diet exercise consult doctor follow,Arthritis,Rheumatologists
Diabetes ,balanced diet exercise consult doctor follow,Tuberculosis,Internist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Allergy,Allergist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Hypertension ,Cardiologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Heart attack,Cardiologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Psoriasis,Dermatologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Chicken pox,Dermatologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Acne,Dermatologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Impetigo,Dermatologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Fungal infection,Dermatologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Hypothyroidism,Endocrinologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Diabetes ,Endocrinologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Hypoglycemia,Endocrinologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Hyperthyroidism,Endocrinologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,GERD,Gastroenterologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Peptic ulcer diseae,Gastroenterologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Jaundice,Gastroenterologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Dimorphic hemmorhoids(piles),Gastroenterologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Gastroenteritis,Gastroenterologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Urinary tract infection,Gynecologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Chronic cholestasis,Hepatologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,hepatitis A,Hepatologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Hepatitis B,hepatologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Hepatitis C,Hepatologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Hepatitis E,Hepatologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Hepatitis D,Hepatologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Alcoholic hepatitis,Hepatologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Malaria,Internal Medcine
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Dengue,Internal Medcine
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Migraine,Neurologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Cervical spondylosis,Neurologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Paralysis (brain hemorrhage),Neurologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,AIDS,Osteopathic
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,(vertigo) Paroymsal  Positional Vertigo,Otolaryngologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Common Cold,Otolaryngologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Typhoid,Pediatrician
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Varicose veins,Phlebologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Bronchial Asthma,Pulmonologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Pneumonia,Pulmonologist
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Osteoarthristis,Rheumatologists
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Arthritis,Rheumatologists
Impetigo,soak affected area warm water use antibiotic remove scab wet compressed cloth consult doctor,Tuberculosis,Internist
Hypertension ,meditation salt bath reduce stress get proper sleep,Allergy,Allergist
Hypertension ,meditation salt bath reduce stress get proper sleep,Hypertension ,Cardiologist
Hypertension ,meditation salt bath reduce stress get proper sleep,Heart attack,Cardiologist
Hypertension ,meditation salt bath reduce stress get proper sleep,Psoriasis,Dermatologist
Hypertension ,meditation salt bath reduce stress get proper sleep,Chicken pox,Dermatologist
Hypertension ,meditation salt bath reduce stress get proper sleep,Acne,Dermatologist
Hypertension ,meditation salt bath reduce stress get proper sleep,Impetigo,Dermatologist
Hypertension ,meditation salt bath reduce stress get proper sleep,Fungal infection,Dermatologist
Hypertension ,meditation salt bath reduce stress get proper sleep,Hypothyroidism,Endocrinologist
Hypertension ,meditation salt bath reduce stress get proper sleep,Diabetes ,Endocrinologist
Hypertension ,meditation salt bath reduce stress get proper sleep,Hypoglycemia,Endocrinologist
Hypertension ,meditation salt bath reduce stress get proper sleep,Hyperthyroidism,Endocrinologist
Hypertension ,meditation salt bath reduce stress get proper sleep,GERD,Gastroenterologist
Hypertension ,meditation salt bath reduce stress get proper sleep,Peptic ulcer diseae,Gastroenterologist
Hypertension ,meditation salt bath reduce stress get proper sleep,Jaundice,Gastroenterologist
Hypertension ,meditation salt bath reduce stress get proper sleep,Dimorphic hemmorhoids(piles),Gastroenterologist
Hypertension ,meditation salt bath reduce stress get proper sleep,Gastroenteritis,Gastroenterologist
Hypertension ,meditation salt bath reduce stress get proper sleep,Urinary tract infection,Gynecologist
Hypertension ,meditation salt bath reduce stress get proper sleep,Chronic cholestasis,Hepatologist
Hypertension ,meditation salt bath reduce stress get proper sleep,hepatitis A,Hepatologist
Hypertension ,meditation salt bath reduce stress get proper sleep,Hepatitis B,hepatologist
Hypertension ,meditation salt bath reduce stress get proper sleep,Hepatitis C,Hepatologist
Hypertension ,meditation salt bath reduce stress get proper sleep,Hepatitis E,Hepatologist
Hypertension ,meditation salt bath reduce stress get proper sleep,Hepatitis D,Hepatologist
Hypertension ,meditation salt bath reduce stress get proper sleep,Alcoholic hepatitis,Hepatologist
Hypertension ,meditation salt bath reduce stress get proper sleep,Malaria,Internal Medcine
Hypertension ,meditation salt bath reduce stress get proper sleep,Dengue,Internal Medcine
Hypertension ,meditation salt bath reduce stress get proper sleep,Migraine,Neurologist
Hypertension ,meditation salt bath reduce stress get proper sleep,Cervical spondylosis,Neurologist
Hypertension ,meditation salt bath reduce stress get proper sleep,Paralysis (brain hemorrhage),Neurologist
Hypertension ,meditation salt bath reduce stress get proper sleep,AIDS,Osteopathic
